1438916	1	20	0	0	6	81	1	3	5	1278	1253	177	24	786	127	2	2015	0	228	-1	-1
3135106	1	21	0	0	9	0	0	0	15	1	90	28	5	185	6	14	2015	5	56	-1	-1
4320966	2	20	2	0	6	5	0	0	9	18	41	9	2	289	6	4	2015	5	139	33	-1
5178309	2	17	0	21	4	852	11	0	22	446	181	68	2	781	43	5	2015	2	14	5	-1
5336626	2	20	1	0	6	50	18	1	6	924	105	64	7	295	25	1	2015	1	37	10	69
5630207	2	21	0	0	7	23	0	0	8	71	425	41	11	331	0	2	2014	3	164	23	79
5643130	1	21	0	0	12	44	2	0	15	0	1076	73	15	178	18	4	0	5	80	27	-1
6591837	2	21	0	0	15	67	0	0	14	1026	179	131	2	119	17	2	0	5	89	24	93
6634855	2	-1	0	0	5	28	0	0	21	195	100	19	1	310	2	18	0	5	111	16	17
8676063	2	21	0	140	10	131	2	0	16	524	50	73	1	138	1	0	0	1	0	11	15
8750491	1	23	1	0	14	26	0	0	16	152	434	86	6	447	17	14	2014	3	385	33	133
9493291	1	-1	0	37	6	22	0	0	14	0	457	40	8	316	19	15	2015	3	216	4	-1
9671947	1	22	2	0	5	84	1	0	7	102	120	50	7	270	60	0	0	0	169	14	171
10088422	2	-1	1	0	9	26	4	0	21	201	39	11	2	144	7	4	2015	2	-1	27	-1
10513952	1	-1	1	27	7	486	3	1	12	0	222	198	6	130	58	0	2015	0	-1	67	107
11196677	2	-1	-1	0	3	80	0	2	21	1508	206	968	2	737	54	11	0	1	158	-1	184
11531398	1	20	0	0	10	245	21	5	8	2362	2793	331	36	549	151	4	2017	0	333	65	-1
11635316	2	20	-1	0	0	0	0	0	17	0	0	26	0	74	0	0	0	-1	-1	-1	-1
11828839	1	-1	0	0	8	118	0	0	11	231	181	86	2	483	22	7	2015	1	407	-1	145
12629871	2	-1	0	0	7	90	0	0	11	169	641	76	11	154	4	7	2015	5	223	10	-1
